date,store,product,quantity,price
2024-01-01 09:15:00,Hanoi,Tea,10,15000
2024-01-01 14:00:00,Danang,Tea,15,15000
2024-01-02 13:10:00,Saigon,Tea,20,15000
2024-01-02 15:20:00,Danang,Coffee,5,25000
2024-01-03 12:30:00,Saigon,Juice,6,30000
2024-01-03 16:45:00,Danang,Tea,10,15000
2024-01-02 09:45:00,Hanoi,Coffee,12,25000
2024-01-01 10:30:00,Saigon,Coffee,8,25000
2024-01-05 09:00:00,Hanoi,Tea,18,15000
2024-01-04 13:30:00,Saigon,Tea,11,15000
2024-01-04 10:00:00,Hanoi,Coffee,14,25000
2024-01-03 08:55:00,Hanoi,Juice,9,30000
2024-01-04 17:00:00,Danang,Juice,7,30000
2024-01-05 11:20:00,Saigon,Coffee,10,25000
2024-01-05 15:45:00,Danang,Juice,5,30000
